,dock_id,dock_name,_lat,_long
0,72,W 52 St & 11 Ave,40.767272,-73.99392900000001
4136,79,Franklin St & W Broadway,40.719116,-74.00666700000001
8272,82,St James Pl & Pearl St,40.711174,-74.000165
12408,83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323
16544,116,W 17 St & 8 Ave,40.741776,-74.001497
20680,119,Park Ave & St Edwards St,40.696089,-73.978034
24816,120,Lexington Ave & Classon Ave,40.686768,-73.959282
28952,127,Barrow St & Hudson St,40.731724,-74.006744
33088,128,MacDougal St & Prince St,40.727103,-74.002971
37224,137,E 56 St & Madison Ave,40.761628,-73.972924
41360,143,Clinton St & Joralemon St,40.692395,-73.993379
45496,144,Nassau St & Navy St,40.698399,-73.980689
49632,146,Hudson St & Reade St,40.71625,-74.009106
53768,147,Greenwich St & Warren St,40.715422,-74.01122
57904,150,E 2 St & Avenue C,40.720874,-73.980858
62040,151,Cleveland Pl & Spring St,40.721816,-73.997203
66176,152,Warren St & Church St,40.71474,-74.009106
70312,153,E 40 St & 5 Ave,40.752062,-73.98163199999999
74448,157,Henry St & Atlantic Ave,40.690893,-73.996123
78584,160,E 37 St & Lexington Ave,40.748238,-73.978311
82720,161,LaGuardia Pl & W 3 St,40.72917,-73.998102
86856,164,E 47 St & 2 Ave,40.753231,-73.970325
90992,167,E 39 St & 3 Ave,40.748901000000004,-73.976049
95128,168,W 18 St & 6 Ave,40.739713,-73.994564
99264,173,Broadway & W 49 St,40.760647,-73.984427
103400,174,E 25 St & 1 Ave,40.738177,-73.977387
107536,195,Liberty St & Broadway,40.709056,-74.010434
111672,212,W 16 St & The High Line,40.743349,-74.00681800000001
115808,216,Columbia Heights & Cranberry St,40.700379,-73.99548100000001
119944,217,Old Fulton St,40.702771999999996,-73.993836
124080,218,Gallatin Pl & Livingston St,40.690284000000005,-73.987071
128216,223,W 13 St & 7 Ave,40.737815000000005,-73.99994699999999
132352,224,Spruce St & Nassau St,40.711464,-74.005524
136488,225,W 14 St & The High Line,40.741951,-74.00803
140624,228,E 48 St & 3 Ave,40.754601,-73.971879
144760,229,Great Jones St,40.727434,-73.99379
148896,232,Cadman Plaza E & Tillary St,40.695977,-73.990149
153032,233,Joralemon St & Adams St,40.692463000000004,-73.989639
157168,236,St Marks Pl & 2 Ave,40.728419,-73.98714
161304,237,E 11 St & 2 Ave,40.730472999999996,-73.986724
165440,238,Bank St & Washington St,40.736197,-74.00859200000001
169576,239,Willoughby St & Fleet St,40.691966,-73.981302
173712,241,DeKalb Ave & S Portland Ave,40.689809999999994,-73.97493100000001
177848,242,Flushing Ave & Carlton Ave,40.697883000000004,-73.97350300000001
181984,243,Fulton St & Rockwell Pl,40.688226,-73.979382
186120,244,Willoughby Ave & Hall St,40.691959999999995,-73.965369
190256,245,Myrtle Ave & St Edwards St,40.69327,-73.977039
194392,247,Perry St & Bleecker St,40.735354,-74.00483100000001
198528,248,Laight St & Hudson St,40.721854,-74.00771800000001
202664,249,Harrison St & Hudson St,40.718709999999994,-74.009001
206800,250,Lafayette St & Jersey St,40.724561,-73.995653
210936,251,Mott St & Prince St,40.72318,-73.9948
215072,252,MacDougal St & Washington Sq,40.732264,-73.998522
223170,254,W 11 St & 6 Ave,40.735324,-73.99800400000001
227306,257,Lispenard St & Broadway,40.719392,-74.002472
231442,258,DeKalb Ave & Vanderbilt Ave,40.689407,-73.968855
235578,259,South St & Whitehall St,40.701221000000004,-74.012342
239714,260,Broad St & Bridge St,40.703652000000005,-74.011678
243850,261,Johnson St & Gold St,40.694749,-73.983625
247986,262,Washington Park,40.691782,-73.97373
252122,263,Elizabeth St & Hester St,40.717290000000006,-73.996375
256258,264,Maiden Ln & Pearl St,40.707065,-74.007319
260394,265,Stanton St & Chrystie St,40.722293,-73.991475
264530,266,Avenue D & E 8 St,40.723684000000006,-73.975748
268666,267,Broadway & W 36 St,40.750977,-73.987654
272802,268,Howard St & Centre St,40.719105,-73.99973299999999
276938,270,Adelphi St & Myrtle Ave,40.693083,-73.971789
281074,271,Ashland Pl & Hanson Pl,40.685282,-73.97805799999999
285210,274,Lafayette Ave & Fort Greene Pl,40.686919,-73.976682
289346,275,Washington Ave & Greene Ave,40.686501,-73.965633
297618,278,Concord St & Bridge St,40.697666,-73.984764
301754,279,Peck Slip & Front Street,40.707873,-74.00166999999999
305890,280,E 10 St & 5 Ave,40.73332,-73.995101
310026,281,Grand Army Plaza & Central Park S,40.764396999999995,-73.973715
314162,282,Kent Ave & S 11 St,40.708273,-73.96834100000001
318298,284,Greenwich Ave & 8 Ave,40.739017,-74.002638
322434,285,Broadway & E 14 St,40.734546,-73.990741
326570,289,Monroe St & Classon Ave,40.684568,-73.958811
330706,290,2 Ave & E 58 St,40.760203000000004,-73.96478499999999
334842,291,Madison St & Montgomery St,40.713126,-73.984844
338978,293,Lafayette St & E 8 St,40.730287,-73.990765
343114,294,Washington Square E,40.730494,-73.995721
347250,295,Pike St & E Broadway,40.714067,-73.992939
351386,296,Division St & Bowery,40.714131,-73.997047
355522,297,E 15 St & 3 Ave,40.734232,-73.986923
359658,298,3 Ave & Schermerhorn St,40.686832,-73.979677
363794,300,Shevchenko Pl & E 7 St,40.728145,-73.990214
367930,301,E 2 St & Avenue B,40.722174,-73.983688
372066,302,Avenue D & E 3 St,40.720828000000004,-73.977932
376202,303,Mercer St & Spring St,40.723627,-73.999496
380338,304,Broadway & Battery Pl,40.704633,-74.01361700000001
